ENTREZ_ID,Gene_SYMBOL
19,ABCA1
10006,ABI1
91,ACVR1B
92,ACVR2A
133,ADM
136,ADORA2B
11047,ADRM1
196,AHR
187,APLNR
366,AQP9
488,ATP2A2
490,ATP2B1
27032,ATP2C1
558,AXL
623,BDKRB1
7439,BEST1
684,BST2
7832,BTG2
719,C3AR1
728,C5AR1
10203,CALCRL
6361,CCL17
6347,CCL2
6364,CCL20
6367,CCL22
6369,CCL24
6352,CCL5
6354,CCL7
1236,CCR7
9034,CCRL2
929,CD14
958,CD40
962,CD48
1604,CD55
969,CD69
970,CD70
3732,CD82
1026,CDKN1A
9435,CHST2
23601,CLEC5A
1240,CMKLR1
1435,CSF1
1440,CSF3
1441,CSF3R
6376,CX3CL1
3627,CXCL10
6373,CXCL11
6372,CXCL6
4283,CXCL9
10663,CXCR6
1536,CYBB
131566,DCBLD2
10148,EBI3
1906,EDN1
5610,EIF2AK2
2014,EMP3
2015,ADGRE1
2069,EREG
2152,F3
2867,FFAR2
2357,FPR1
7855,FZD5
2550,GABBR1
2643,GCH1
2769,GNA15
2773,GNAI3
2811,GP1BA
2719,GPC3
29933,GPR132
1880,GPR183
3037,HAS2
1839,HBEGF
3091,HIF1A
3249,HPN
3269,HRH1
3383,ICAM1
3386,ICAM4
23308,ICOSLG
8519,IFITM1
3454,IFNAR1
3460,IFNGR2
3586,IL10
3587,IL10RA
3593,IL12B
3600,IL15
3601,IL15RA
3606,IL18
8809,IL18R1
8807,IL18RAP
3552,IL1A
3553,IL1B
3554,IL1R1
3560,IL2RB
3566,IL4R
3569,IL6
3575,IL7R
3576,CXCL8
3624,INHBA
3656,IRAK2
3659,IRF1
3665,IRF7
3678,ITGA5
3690,ITGB3
3696,ITGB8
3738,KCNA3
3759,KCNJ2
10242,KCNMB2
23095,KIF1B
1316,KLF6
27074,LAMP3
3932,LCK
3937,LCP2
3949,LDLR
3976,LIF
1902,LPAR1
4049,LTA
4061,LY6E
4067,LYN
8685,MARCO
4210,MEFV
4224,MEP1A
4233,MET
4323,MMP14
4481,MSR1
4084,MXD1
4609,MYC
10135,NAMPT
4693,NDP
4790,NFKB1
4792,NFKBIA
114548,NLRP3
9111,NMI
10316,NMUR1
64127,NOD2
10886,NPFFR2
4973,OLR1
4986,OPRK1
5008,OSM
9180,OSMR
5025,P2RX4
5027,P2RX7
5029,P2RY2
5099,PCDH7
5142,PDE4B
10630,PDPN
23533,PIK3R5
5329,PLAUR
60675,PROK2
5663,PSEN1
5724,PTAFR
5732,PTGER2
5734,PTGER4
5739,PTGIR
5791,PTPRE
5817,PVR
5894,RAF1
10125,RASGRP1
5970,RELA
5996,RGS1
6004,RGS16
391,RHOG
8767,RIPK2
255488,RNF144B
6098,ROS1
64108,RTP4
8578,SCARF1
6324,SCN1B
6401,SELE
6402,SELL
55829,SELENOS
10507,SEMA4D
5054,SERPINE1
166929,SGMS2
6504,SLAMF1
4891,SLC11A2
6506,SLC1A2
9153,SLC28A2
1317,SLC31A1
1318,SLC31A2
8671,SLC4A4
6541,SLC7A1
6542,SLC7A2
8877,SPHK1
6717,SRI
23166,STAB1
6869,TACR1
6870,TACR3
6892,TAPBP
7076,TIMP1
7096,TLR1
7097,TLR2
7098,TLR3
7130,TNFAIP6
7133,TNFRSF1B
3604,TNFRSF9
8743,TNFSF10
9966,TNFSF15
8744,TNFSF9
7162,TPBG
7432,VIP
