"","ID","Gene Symbol","ENTREZ_GENE_ID"
"1","1007_s_at","DDR1 /// MIR4640","780 /// 100616237"
"2","1053_at","RFC2","5982"
"3","117_at","HSPA6","3310"
"4","121_at","PAX8","7849"
"5","1255_g_at","GUCA1A","2978"
"6","1294_at","MIR5193 /// UBA7","7318 /// 100847079"
"7","1316_at","THRA","7067"
"8","1320_at","PTPN21","11099"
"9","1405_i_at","CCL5","6352"
"10","1431_at","CYP2E1","1571"
"11","1438_at","EPHB3","2049"
"12","1487_at","ESRRA","2101"
"13","1494_f_at","CYP2A6","1548"
"14","1598_g_at","GAS6","2621"
"15","160020_at","MMP14","4323"
"16","1729_at","TRADD","8717"
"17","1773_at","CHURC1-FNTB /// FNTB","2342 /// 100529261"
"18","177_at","PLD1","5337"
"19","179_at","DTX2P1-UPK3BP1-PMS2P11","441263"
"20","1861_at","BAD","572"
"21","200000_s_at","PRPF8","10594"
"22","200001_at","CAPNS1","826"
"23","200002_at","RPL35","11224"
"24","200003_s_at","MIR6805 /// RPL28","6158 /// 102465483"
"25","200004_at","EIF4G2","1982"
"26","200005_at","EIF3D","8664"
"27","200006_at","PARK7","11315"
"28","200007_at","SRP14","6727"
"29","200008_s_at","GDI2","2665"
"30","200009_at","GDI2","2665"
"31","200010_at","RPL11","6135"
"32","200011_s_at","ARF3","377"
"33","200012_x_at","RPL21 /// RPL21P28 /// SNORA27 /// SNORD102","6144 /// 26771 /// 619499 /// 100131205"
"34","200013_at","RPL24","6152"
"35","200014_s_at","HNRNPC","3183"
"36","200015_s_at","SEPT2","4735"
"37","200016_x_at","HNRNPA1 /// HNRNPA1P10","3178 /// 664709"
"38","200017_at","RPS27A","6233"
"39","200018_at","LOC100508408 /// RPS13 /// SNORD14B","6207 /// 85388 /// 100508408"
"40","200019_s_at","FAU","2197"
"41","200020_at","TARDBP","23435"
"42","200021_at","CFL1","1072"
"43","200022_at","RPL18","6141"
"44","200023_s_at","EIF3F","8665"
"45","200024_at","RPS5","6193"
"46","200025_s_at","RPL27","6155"
"47","200026_at","RPL34","6164"
"48","200027_at","NARS","4677"
"49","200028_s_at","STARD7","56910"
"50","200029_at","RPL19","6143"
"51","200030_s_at","SLC25A3","5250"
"52","200031_s_at","RPS11 /// SNORD35B","6205 /// 84546"
"53","200032_s_at","RPL9","6133"
"54","200033_at","DDX5 /// MIR3064 /// MIR5047","1655 /// 100616387 /// 100616408"
"55","200034_s_at","RPL6","6128"
"56","200035_at","CTDNEP1","23399"
"57","200036_s_at","RPL10A","4736"
"58","200037_s_at","CBX3","11335"
"59","200038_s_at","C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C","6139 /// 26790 /// 26791 /// 497661 /// 100124516 /// 100526842"
"60","200039_s_at","PSMB2","5690"
"61","200040_at","KHDRBS1","10657"
"62","200041_s_at","ATP6V1G2-DDX39B /// DDX39B /// SNORD84","7919 /// 692199 /// 100532737"
"63","200042_at","RTCB","51493"
"64","200043_at","ERH","2079"
"65","200044_at","GATC /// SRSF9","8683 /// 283459"
"66","200045_at","ABCF1","23"
"67","200046_at","DAD1","1603"
"68","200047_s_at","YY1","7528"
"69","200048_s_at","JTB","10899"
"70","200049_at","KAT7","11143"
"71","200050_at","ZNF146","7705"
"72","200051_at","SART1","9092"
"73","200052_s_at","ILF2","3608"
"74","200053_at","SPAG7","9552"
"75","200054_at","ZPR1","8882"
"76","200055_at","TAF10","6881"
"77","200056_s_at","C1D","10438"
"78","200057_s_at","NONO","4841"
"79","200058_s_at","LOC101929240 /// SNRNP200","23020 /// 101929240"
"80","200059_s_at","RHOA","387"
"81","200060_s_at","RNPS1","10921"
"82","200061_s_at","RPS24","6229"
"83","200062_s_at","RPL30","6156"
"84","200063_s_at","NPM1","4869"
"85","200064_at","HSP90AB1","3326"
"86","200065_s_at","ARF1 /// MIR3620","375 /// 100500810"
"87","200066_at","IK","3550"
"88","200067_x_at","SNX3","8724"
"89","200068_s_at","CANX","821"
"90","200069_at","SART3","9733"
"91","200070_at","CNPPD1","27013"
"92","200071_at","SMNDC1","10285"
"93","200072_s_at","HNRNPM","4670"
"94","200073_s_at","HNRNPD","3184"
"95","200074_s_at","RPL14","9045"
"96","200075_s_at","GUK1","2987"
"97","200076_s_at","KXD1","79036"
"98","200077_s_at","OAZ1","4946"
"99","200078_s_at","ATP6V0B","533"
"100","200079_s_at","KARS","3735"
"101","200080_s_at","H3F3A /// H3F3AP4 /// H3F3B","3020 /// 3021 /// 440926"
"102","200081_s_at","RPS6","6194"
"103","200082_s_at","RPS7","6201"
"104","200083_at","USP22","23326"
"105","200084_at","C11orf58","10944"
"106","200085_s_at","TCEB2","6923"
"107","200086_s_at","COX4I1","1327"
"108","200087_s_at","TMED2","10959"
"109","200088_x_at","NBEAL1 /// RPL12","6136 /// 65065"
"110","200089_s_at","RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C","6124 /// 595097 /// 595098 /// 595099 /// 595100"
"111","200090_at","FNTA","2339"
"112","200091_s_at","RPS25","6230"
"113","200092_s_at","RPL37","6167"
"114","200093_s_at","HINT1","3094"
"115","200094_s_at","EEF2","1938"
"116","200095_x_at","RPS10","6204"
"117","200096_s_at","ATP6V0E1","8992"
"118","200097_s_at","HNRNPK","3190"
"119","200098_s_at","ANAPC5","51433"
"120","200099_s_at","RPS3A /// SNORD73A","6189 /// 8944"
"121","200593_s_at","HNRNPU","3192"
"122","200594_x_at","HNRNPU","3192"
"123","200595_s_at","EIF3A","8661"
"124","200596_s_at","EIF3A","8661"
"125","200597_at","EIF3A","8661"
"126","200598_s_at","HSP90B1 /// MIR3652","7184 /// 100500842"
"127","200599_s_at","HSP90B1 /// MIR3652","7184 /// 100500842"
