"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.56396068321928e-41,0.336415139640121,0.981,0.997,1.59774694979325e-36,"ECM related 1","RPL41"
8.26269707650866e-38,0.360579276790777,0.948,0.979,2.37271609249023e-33,"ECM related 1","RPL13A"
5.66206401298086e-36,0.411267357570415,0.943,0.984,1.62591830196758e-31,"ECM related 1","RPS18"
1.41092208192123e-35,0.382501736421198,0.957,0.985,4.05160385044502e-31,"ECM related 1","RPS27"
1.8951359789265e-33,0.40432090181739,0.97,0.988,5.44207247708532e-29,"ECM related 1","FTH1"
4.24614708162774e-33,0.437877298606688,0.93,0.977,1.21932359596022e-28,"ECM related 1","FTL"
1.18371832734056e-32,0.345971590475362,0.967,0.986,3.39916554879116e-28,"ECM related 1","TMSB4X"
5.37010755688878e-30,0.509334793047022,0.802,0.9,1.54208008603618e-25,"ECM related 1","RPL23A"
4.82097295511164e-27,0.267822148741007,0.2,0.403,1.38439059378986e-22,"ECM related 1","NDUFA1"
3.56460147069831e-26,0.68833931594261,0.683,0.798,1.02361095832573e-21,"ECM related 1","RPL31"
3.61890592609569e-26,0.284525176235952,0.118,0.256,1.03920502573764e-21,"ECM related 1","ROMO1"
1.37306375730684e-24,0.269734124516407,0.226,0.442,3.94288988548233e-20,"ECM related 1","SNRPD2"
2.35773798635982e-24,0.509751099574232,0.849,0.951,6.77048040163085e-20,"ECM related 1","RPL21"
4.3399256068954e-23,0.262001139238706,0.161,0.32,1.24625303727608e-18,"ECM related 1","AXL"
4.46689794783607e-23,0.299894723254694,0.197,0.385,1.28271441470061e-18,"ECM related 1","NDUFB1"
5.33639928784776e-23,0.295926868763691,0.106,0.229,1.53240041949836e-18,"ECM related 1","NDUFA3"
2.49941444383328e-22,0.301986920934789,0.243,0.461,7.17731851691165e-18,"ECM related 1","MFAP2"
2.73976309902763e-22,0.317692841751599,0.252,0.476,7.86750371516774e-18,"ECM related 1","PSMA7"
2.95413144742227e-22,0.308168430505319,0.259,0.496,8.48308386441778e-18,"ECM related 1","ATP5ME"
4.09833650080431e-21,0.256571009848702,0.082,0.182,1.17687830957097e-16,"ECM related 1","FKBP11"
7.96166842509609e-21,0.559842833945702,0.724,0.878,2.28627270495059e-16,"ECM related 1","RPS29"
3.96764091917865e-20,0.374119647557793,0.197,0.372,1.13934776635134e-15,"ECM related 1","SET"
1.0706569055383e-19,0.304820966632161,0.154,0.296,3.07449836994378e-15,"ECM related 1","CTTN"
4.11870227657517e-19,0.259798051653309,0.103,0.21,1.18272654574133e-14,"ECM related 1","NHP2"
7.50216741077764e-18,0.273108069519452,0.994,1,2.15432239367891e-13,"ECM related 1","MALAT1"
8.04840916478703e-18,1.27940436242368,0.12,0.057,2.31118117576024e-13,"ECM related 1","MUCL1"
1.99779965502792e-17,0.271036518470551,0.315,0.572,5.73688148937817e-13,"ECM related 1","UQCRQ"
3.55149702104169e-17,0.288832658846959,0.907,0.976,1.01984788456233e-12,"ECM related 1","RPS19"
4.58428112997972e-17,0.275457648273587,0.304,0.541,1.31642216928498e-12,"ECM related 1","IFITM2"
1.34559661219699e-16,0.313592958631906,0.839,0.948,3.86401523158488e-12,"ECM related 1","RPL27A"
1.83185788850361e-16,0.322223368167959,0.179,0.324,5.26036311262697e-12,"ECM related 1","FKBP9"
9.14977570745474e-16,0.518606237163622,0.194,0.336,2.6274495921527e-11,"ECM related 1","ISG15"
1.07272359384172e-15,0.490861896115089,0.179,0.324,3.08043307207589e-11,"ECM related 1","OLFML3"
2.10766264302374e-15,0.337158842994416,0.884,0.974,6.05236404570696e-11,"ECM related 1","RPL34"
6.7031217430229e-15,0.270825267632909,0.104,0.197,1.92486843972646e-10,"ECM related 1","SUMF2"
9.55263128010209e-15,0.265266431631837,0.266,0.462,2.74313359839412e-10,"ECM related 1","MEG3"
1.81856965134733e-14,0.454393094775309,0.143,0.258,5.22220461080899e-10,"ECM related 1","RIN2"
1.21468671192489e-13,0.296254651234153,0.868,0.954,3.48809436196352e-09,"ECM related 1","RPS15A"
1.37564701798448e-13,0.289207820976292,0.868,0.964,3.95030797684422e-09,"ECM related 1","RPS6"
8.22487995881212e-13,0.390419639746781,0.333,0.562,2.36185652897249e-08,"ECM related 1","LY6E"
